0,0,24
100,8.18,24
200,16.36,24
300,24.55,25
400,32.73,25
500,40.91,25
600,49.09,26
700,57.27,30
800,65.45,36
900,73.64,52
1000,81.82,40
1100,90,50
1200,98.18,26
1300,106.36,26
1400,114.55,17
1500,122.73,15
1600,130.91,15
1700,139.09,19
1800,147.27,39
1900,155.45,36
2000,163.64,36
2100,171.82,37
